Ticket_ID,Customer_ID,Region,Issue_Type,Priority,Status,Created_Date,Resolved_Date,Resolution_Time_Hours,Agent,Customer_Satisfaction
T045,C120,East,Account Locked,High,Closed,10-01-2025,11-01-2025,6,Neha,4
T046,C121,North,Login Issue,Low,Closed,11-01-2025,11-01-2025,3,Rahul,4
T047,C122,West,Payment Issue,Medium,Closed,11-01-2025,12-01-2025,6,Sneha,5
T048,C123,South,Technical Error,High,Closed,12-01-2025,12-01-2025,4,Amit,4
T049,C124,East,Refund Issue,Medium,Closed,12-01-2025,13-01-2025,5,Neha,3
T050,C125,North,Account Locked,High,Closed,13-01-2025,13-01-2025,3,Rahul,5
T051,C101,North,Login Issue,High,Closed,01-01-2025,01-01-2025,3,Rahul,4
T052,C102,West,Payment Issue,Medium,Closed,01-01-2025,02-01-2025,6,Sneha,5
T053,C103,South,Account Locked,High,Closed,02-01-2025,02-01-2025,4,Amit,3
T054,C104,East,Login Issue,Low,Closed,02-01-2025,03-01-2025,5,Neha,4
T055,C105,North,Refund Issue,High,Closed,03-01-2025,03-01-2025,2,Rahul,5
T056,C106,West,Payment Issue,Medium,Closed,03-01-2025,04-01-2025,7,Sneha,3
T057,C107,South,Technical Error,High,Closed,04-01-2025,04-01-2025,3,Amit,4
T058,C108,East,Login Issue,Low,Closed,04-01-2025,05-01-2025,5,Neha,4
T059,C109,North,Refund Issue,Medium,Closed,05-01-2025,05-01-2025,4,Rahul,5
T060,C110,West,Technical Error,High,Closed,05-01-2025,06-01-2025,8,Sneha,3
T061,C111,South,Login Issue,Low,Closed,06-01-2025,06-01-2025,2,Amit,4
T062,C112,East,Payment Issue,Medium,Closed,06-01-2025,07-01-2025,6,Neha,5
T063,C113,North,Account Locked,High,Closed,07-01-2025,07-01-2025,3,Rahul,4
T064,C114,West,Refund Issue,Medium,Closed,07-01-2025,08-01-2025,5,Sneha,4
T065,C115,South,Technical Error,High,Closed,08-01-2025,08-01-2025,4,Amit,3
T066,C116,East,Login Issue,Low,Closed,08-01-2025,09-01-2025,6,Neha,5
T067,C117,North,Payment Issue,Medium,Closed,09-01-2025,09-01-2025,3,Rahul,4
T068,C118,West,Technical Error,High,Closed,09-01-2025,10-01-2025,7,Sneha,3
T069,C119,South,Refund Issue,Medium,Closed,10-01-2025,10-01-2025,2,Amit,5
T070,C120,East,Account Locked,High,Closed,10-01-2025,11-01-2025,6,Neha,4
T071,C121,North,Login Issue,Low,Closed,11-01-2025,11-01-2025,3,Rahul,4
T072,C122,West,Payment Issue,Medium,Closed,11-01-2025,12-01-2025,6,Sneha,5
T073,C123,South,Technical Error,High,Closed,12-01-2025,12-01-2025,4,Amit,4
T074,C124,East,Refund Issue,Medium,Closed,12-01-2025,13-01-2025,5,Neha,3
T075,C125,North,Account Locked,High,Closed,13-01-2025,13-01-2025,3,Rahul,5
T076,C101,North,Login Issue,High,Closed,01-01-2025,01-01-2025,3,Rahul,4
T077,C102,West,Payment Issue,Medium,Closed,01-01-2025,02-01-2025,6,Sneha,5
T078,C103,South,Account Locked,High,Closed,02-01-2025,02-01-2025,4,Amit,3
T079,C104,East,Login Issue,Low,Closed,02-01-2025,03-01-2025,5,Neha,4
T080,C105,North,Refund Issue,High,Closed,03-01-2025,03-01-2025,2,Rahul,5
T081,C106,West,Payment Issue,Medium,Closed,03-01-2025,04-01-2025,7,Sneha,3
T082,C107,South,Technical Error,High,Closed,04-01-2025,04-01-2025,3,Amit,4
T083,C108,East,Login Issue,Low,Closed,04-01-2025,05-01-2025,5,Neha,4
T084,C109,North,Refund Issue,Medium,Closed,05-01-2025,05-01-2025,4,Rahul,5
T085,C110,West,Technical Error,High,Closed,05-01-2025,06-01-2025,8,Sneha,3
T086,C111,South,Login Issue,Low,Closed,06-01-2025,06-01-2025,2,Amit,4
T087,C112,East,Payment Issue,Medium,Closed,06-01-2025,07-01-2025,6,Neha,5
T088,C113,North,Account Locked,High,Closed,07-01-2025,07-01-2025,3,Rahul,4
T089,C114,West,Refund Issue,Medium,Closed,07-01-2025,08-01-2025,5,Sneha,4
T090,C115,South,Technical Error,High,Closed,08-01-2025,08-01-2025,4,Amit,3
T091,C116,East,Login Issue,Low,Closed,08-01-2025,09-01-2025,6,Neha,5
T092,C117,North,Payment Issue,Medium,Closed,09-01-2025,09-01-2025,3,Rahul,4
T093,C118,West,Technical Error,High,Closed,09-01-2025,10-01-2025,7,Sneha,3
T094,C119,South,Refund Issue,Medium,Closed,10-01-2025,10-01-2025,2,Amit,5
T095,C120,East,Account Locked,High,Closed,10-01-2025,11-01-2025,6,Neha,4
T096,C121,North,Login Issue,Low,Closed,11-01-2025,11-01-2025,3,Rahul,4
T097,C122,West,Payment Issue,Medium,Closed,11-01-2025,12-01-2025,6,Sneha,5
T098,C123,South,Technical Error,High,Closed,12-01-2025,12-01-2025,4,Amit,4
T099,C124,East,Refund Issue,Medium,Closed,12-01-2025,13-01-2025,5,Neha,3
T100,C125,North,Account Locked,High,Closed,13-01-2025,13-01-2025,3,Rahul,5
